threshold_probability,net_benefit_model,net_benefit_screen_all,net_benefit_screen_none,standardized_net_benefit,dataset
0.05,0.09333429728166569,0.07942934258723731,0.0,0.7439492892815981,charls_train
0.06,0.08982152599173876,0.0696360377211441,0.0,0.715949681627582,charls_train
0.07,0.08577238174012367,0.05963212414825317,0.0,0.6836747508044894,charls_train
0.08,0.08156155438764134,0.049410734193342895,0.0,0.6501110758489369,charls_train
0.09,0.07755202672785091,0.03896469830535765,0.0,0.6181519210716292,charls_train
0.1,0.07382987382987383,0.02828652828652828,0.0,0.5884833738848337,charls_train
0.11,0.07000041157344528,0.0173683993908713,0.0,0.5579594849503813,charls_train
0.12,0.06677489177489178,0.0062021312021312,0.0,0.532249502322495,charls_train
0.13,0.06398993726579932,-0.005220832807039694,0.0,0.5100511787901669,charls_train
0.14,0.061123179146434954,-0.01690944714200529,0.0,0.48720081480224064,charls_train
0.15,0.0585757379875027,-0.028873087696617117,0.0,0.46689566337483906,charls_train
0.16,0.055407291121576836,-0.04112157683586257,0.0,0.4416405978449774,charls_train
0.17,0.052732909660620504,-0.053665210291716336,0.0,0.42032363028757364,charls_train
0.18,0.050265791119449656,-0.06651478602698113,0.0,0.4006587146163432,charls_train
0.19,0.04765296431963099,-0.07968163523719077,0.0,0.37983238713165723,charls_train
0.2,0.04507783882783882,-0.09317765567765568,0.0,0.35930656934306565,charls_train
0.21,0.042218435572865955,-0.1070153475216766,0.0,0.3365148295297053,charls_train
0.22,0.0391025641025641,-0.12120785197708275,0.0,0.3116788321167883,charls_train
0.23,0.03728533371390515,-0.13576899291185007,0.0,0.29719404682908335,charls_train
0.24,0.03571428571428571,-0.15071332176595337,0.0,0.2846715328467153,charls_train
0.25,0.03373015873015873,-0.16605616605616608,0.0,0.2688564476885645,charls_train
0.26,0.03193990693990694,-0.1818136818136818,0.0,0.254586703491813,charls_train
0.27,0.030219780219780223,-0.1980029103316775,0.0,0.24087591240875916,charls_train
0.28,0.02800162800162799,-0.2146418396418397,0.0,0.2231954582319545,charls_train
0.29,0.025982819996904508,-0.2317494711860909,0.0,0.2071039374935746,charls_train
0.3,0.02400575614861329,-0.2493458922030351,0.0,0.19134515119916579,charls_train
0.31,0.02225407442798747,-0.26745235440887616,0.0,0.17738284142600233,charls_train
0.32,0.020809092867916393,-0.2860913596207714,0.0,0.1658651781880635,charls_train
0.33,0.020982997102400085,-0.30528675304794717,0.0,0.1672513345680357,charls_train
0.34,0.01856476856476856,-0.32506382506382514,0.0,0.14797611147976109,charls_train
0.35,0.017843054381515917,-0.3454494223724992,0.0,0.1422234699606962,charls_train
0.36,0.016449175824175828,-0.36647206959706957,0.0,0.13111313868613142,charls_train
0.37,0.01583522297808012,-0.3881621024478168,0.0,0.1262194415479087,charls_train
0.38,0.014377289377289375,-0.4105518137776202,0.0,0.11459854014598539,charls_train
0.39,0.013664204647811205,-0.43367561400348287,0.0,0.10891468230226158,charls_train
0.4,0.012637362637362636,-0.4575702075702076,0.0,0.10072992700729926,charls_train
0.05,0.092717146215961,0.07957370540962438,0.0,0.7382231087923892,charls_heldout
0.06,0.08699954034450791,0.06978193631823741,0.0,0.692698964084114,charls_heldout
0.07,0.08271026013552088,0.05977959154746576,0.0,0.6585472898836954,charls_heldout
0.08,0.07676754811901995,0.04955980449906866,0.0,0.6112308277348206,charls_heldout
0.09,0.07365172359679867,0.03911540674631117,0.0,0.5864223240316535,charls_heldout
0.1,0.06912404898490582,0.028438911265714628,0.0,0.5503725299643667,charls_heldout
0.11,0.06595517960659758,0.017522494538363118,0.0,0.5251416778589446,charls_heldout
0.12,0.06299723710928398,0.006357977430844514,0.0,0.5015902464882057,charls_heldout
0.13,0.06097720089058364,-0.005063195242364177,0.0,0.4855065178780872,charls_heldout
0.14,0.05812676164280909,-0.016749976582391662,0.0,0.46281103803647705,charls_heldout
0.15,0.054774161587007555,-0.02871174101277274,0.0,0.4361173040644829,charls_heldout
0.16,0.052065351955502076,-0.040958309358162914,0.0,0.4145494932666944,charls_heldout
0.17,0.04801189378532069,-0.053499975735972094,0.0,0.3822754575151919,charls_heldout
0.18,0.04593153584410249,-0.06634753641567906,0.0,0.3657114413709735,charls_heldout
0.19,0.04218144667308587,-0.07951232081587264,0.0,0.33585285966238343,charls_heldout
0.2,0.03844745514463566,-0.09300622482607104,0.0,0.30612244897959184,charls_heldout
0.21,0.03661198893158254,-0.10684174665931243,0.0,0.2915082850500056,charls_heldout
0.22,0.03224140682946981,-0.12103202546263694,0.0,0.2567092771174404,charls_heldout
0.23,0.02832319639350031,-0.13559088293617774,0.0,0.22551209723221385,charls_heldout
0.24,0.025785812021815804,-0.1505328682379695,0.0,0.20530919134571127,charls_heldout
0.25,0.025631636763090444,-0.16587330648114243,0.0,0.20408163265306123,charls_heldout
0.26,0.025275366908468336,-0.18162835116332007,0.0,0.20124497675518083,charls_heldout
0.27,0.022978185520884008,-0.19781504090528337,0.0,0.1829545908382922,charls_heldout
0.28,0.02317018593107937,-0.21445136091785674,0.0,0.1844833171363783,charls_heldout
0.29,0.020953991985600898,-0.2315563096631786,0.0,0.16683776126144623,charls_heldout
0.3,0.0182036930480724,-0.2491499712297955,0.0,0.14493960849645984,charls_heldout
0.31,0.01750699165247109,-0.2672535940012418,0.0,0.13939240292390248,charls_heldout
0.32,0.015529756391754801,-0.28588967626596595,0.0,0.12364945978391359,charls_heldout
0.33,0.011482317449734117,-0.3050820594938163,0.0,0.09142334972368477,charls_heldout
0.34,0.012649379181784885,-0.3248560300922074,0.0,0.10071561091969247,charls_heldout
0.35,0.011745486296932655,-0.34523843055516434,0.0,0.09351872617178741,charls_heldout
0.36,0.007964115708531672,-0.36625778103258877,0.0,0.06341107871720116,charls_heldout
0.37,0.005469244941965559,-0.3879444124775505,0.0,0.04354667036882782,charls_heldout
0.38,0.003956957749140691,-0.41033061267880144,0.0,0.031505689833537104,charls_heldout
0.39,0.005864662556800789,-0.43345078665714243,0.0,0.046695024614061095,charls_heldout
0.4,0.0047601611131453635,-0.45734163310142817,0.0,0.037900874635568474,charls_heldout
0.05,0.05232195714008529,0.039677002530642234,0.0,0.596648149891724,cfps_external_main
0.06,0.04876644476079059,0.029460800429904392,0.0,0.5561032238419671,cfps_external_main
0.07,0.04581932211423709,0.01902489505818293,0.0,0.522496008617539,cfps_external_main
0.08,0.043212255351655876,0.008362122178380574,0.0,0.49276658629540315,cfps_external_main
0.09,0.040422907549741025,-0.0025349973581207247,0.0,0.4609585405649806,cfps_external_main
0.1,0.03754542839961304,-0.0136742751065443,0.0,0.42814549791293977,cfps_external_main
0.11,0.035301292632777544,-0.025063873703247044,0.0,0.40255472251814034,cfps_external_main
0.12,0.032227126548249774,-0.03671232681351122,0.0,0.36749878028947797,cfps_external_main
0.13,0.029771097665536983,-0.04862856045504582,0.0,0.3394917031645179,cfps_external_main
0.14,0.027651963583099088,-0.06082191580917429,0.0,0.3153263718434081,cfps_external_main
0.15,0.02591206692105032,-0.07330217364222338,0.0,0.295485636114911,cfps_external_main
0.16,0.0239533259377953,-0.08607958047129746,0.0,0.2731493312888661,cfps_external_main
0.17,0.021485266503302403,-0.09916487662155407,0.0,0.24500506498264965,cfps_external_main
0.18,0.019590250024392155,-0.11256932633645103,0.0,0.2233954361010515,cfps_external_main
0.19,0.01737730095509791,-0.12630475011838252,0.0,0.19816029505951988,cfps_external_main
0.2,0.015471801709938036,-0.14038355949486234,0.0,0.17643112701252237,cfps_external_main
0.21,0.013358208288364141,-0.15481879442517701,0.0,0.1523289780575621,cfps_external_main
0.22,0.012198040670862074,-0.16962416358447419,0.0,0.13909912389339946,cfps_external_main
0.23,0.01083354640496377,-0.18481408778686997,0.0,0.12353925144622818,cfps_external_main
0.24,0.00859097307941593,-0.2004037468366972,0.0,0.09796629319273138,cfps_external_main
0.25,0.007242398096582742,-0.21640913012785318,0.0,0.08258795468097797,cfps_external_main
0.26,0.00628560162641267,-0.23284709134579712,0.0,0.07167722284001353,cfps_external_main
0.27,0.005108109472996534,-0.2497354076656026,0.0,0.058249810081603584,cfps_external_main
0.28,0.004279202726139738,-0.2670928438831804,0.0,0.04879745577419992,cfps_external_main
0.29,0.0036324307125993813,-0.28493922196604204,0.0,0.041422056489203496,cfps_external_main
0.3,0.0034176349965823645,-0.303295496565557,0.0,0.03897265525172501,cfps_external_main
0.31,0.003292102478057387,-0.3221838370954926,0.0,0.03754115786471702,cfps_external_main
0.32,0.002136269049937016,-0.3416277170527793,0.0,0.02436072819109751,cfps_external_main
0.33,0.0016425051774619694,-0.3616520113371491,0.0,0.018730141777694675,cfps_external_main
0.34,0.0006417615641868494,-0.382283102418015,0.0,0.007318263132216585,cfps_external_main
0.35,-0.00023531257353517736,-0.403548996301369,0.0,-0.002683363148479406,cfps_external_main
0.36,-0.0004951368734802727,-0.42547944936857784,0.0,-0.005646243291592125,cfps_external_main
0.37,-0.0003249554586914373,-0.4481061072950633,0.0,-0.003705596728852535,cfps_external_main
0.38,-0.00035929446711823257,-0.4714626574127255,0.0,-0.00409717814068904,cfps_external_main
0.39,-0.0007123670258933849,-0.4955849960588359,0.0,-0.008123405378456855,cfps_external_main
0.4,-0.0008105210866211745,-0.5205114126598165,0.0,-0.009242695289206935,cfps_external_main
