model,dataset,n,events,event_rate,mean_predicted_risk,auroc,auprc,brier,model_probability_cutoff,sensitivity,specificity,ppv,npv,f1,tn,fp,fn,tp
full_15_predictor_locked_gbc,charls_heldout,2731,343,0.12559502013914317,0.12833262615724045,0.8151959994335135,0.38515969098032815,0.09208440679583284,0.1475,0.7521865889212828,0.7458123953098827,0.29826589595375724,0.9544480171489818,0.4271523178807947,1781,607,85,258
age_education_only_logistic_descriptive,charls_heldout,2731,343,0.12559502013914317,0.12670034863898025,0.7882292902803619,0.34786081480525977,0.09548630741681223,0.1475,0.7667638483965015,0.7156616415410385,0.2791932059447983,0.9552822806036892,0.4093385214007782,1709,679,80,263
age_education_only_gbc_descriptive,charls_heldout,2731,343,0.12559502013914317,0.12604643390984985,0.7864022493419478,0.33405362984594134,0.09486030969253571,0.1475,0.7696793002915452,0.7135678391959799,0.27848101265822783,0.9556926528323051,0.40898528272656853,1704,684,79,264
full_15_predictor_locked_gbc,cfps_external_main,12749,1118,0.08769315240411013,0.08921026888792145,0.7951942475609179,0.26750124135864184,0.07139586371462986,0.1475,0.6118067978533095,0.8267560828819533,0.2534271952575028,0.95681592039801,0.3583966465810846,9616,2015,434,684
age_education_only_logistic_descriptive,cfps_external_main,12749,1118,0.08769315240411013,0.09136349128018895,0.7813692711584873,0.24129001457689173,0.07238786696058082,0.1475,0.6341681574239714,0.8051758232310205,0.23831932773109243,0.9581542868835686,0.34644515025653555,9365,2266,409,709
age_education_only_gbc_descriptive,cfps_external_main,12749,1118,0.08769315240411013,0.09615401684534242,0.7700280956034925,0.2241716818694461,0.07345686566432763,0.1475,0.6440071556350626,0.8024245550683519,0.23856858846918488,0.9590997841948412,0.3481624758220503,9333,2298,398,720
