dataset,group_type,group,n,events,event_rate,mean_predicted_risk,observed_expected_ratio,auroc,auprc,auprc_prevalence_baseline,auprc_enrichment_ratio,auroc_ci_low,auroc_ci_high,auprc_ci_low,auprc_ci_high,bootstrap_repetitions,brier,ece,hosmer_lemeshow,hosmer_lemeshow_p_value,calibration_intercept,calibration_intercept_ci_low,calibration_intercept_ci_high,calibration_intercept_p_value,calibration_slope,calibration_slope_ci_low,calibration_slope_ci_high,calibration_slope_p_value,model_probability_cutoff,sensitivity,specificity,ppv,npv,f1,accuracy,tn,fp,fn,tp,false_positives_per_1000,false_negatives_per_1000,small_cell_flag
charls_heldout,overall,Overall,2731,343,0.12559502013914317,0.12833262615724045,0.9786678875039695,0.8151959994335135,0.38515969098032815,0.12559502013914317,3.0666796386801054,0.7917770888740376,0.8357801788806366,0.3351691666521994,0.4413850931600643,2000,0.09208440679583284,0.00890312522502231,8.437653218613093,0.3919267270515939,-0.060003147866713,-0.26044959812379626,0.14044330239037023,0.5573982493989202,0.9788246352926908,0.8686638871873172,1.0889853833980643,0.7063601413111926,0.1475,0.7521865889212828,0.7458123953098827,0.29826589595375724,0.9544480171489818,0.4271523178807947,0.7466129622848773,1781,607,85,258,222.2629073599414,31.12413035518125,False
charls_heldout,sex,Female,1276,231,0.1810344827586207,0.16782866663425505,1.0786862959064363,0.7986536589407403,0.427709220273291,0.1810344827586207,2.3625842643667503,0.7676636862258293,0.8254667812617055,0.36817533474941777,0.4938482737334909,2000,0.12330539237021865,0.021237284670707048,11.483641381943668,0.17577165926535354,0.08963246843433183,-0.15306451860870762,0.33232945547737125,0.46915733349627353,0.9813938699047348,0.8286401470921281,1.1341475927173414,0.8113126750829756,0.1475,0.8528138528138528,0.6545454545454545,0.35304659498207885,0.9526462395543176,0.49936628643852976,0.6904388714733543,684,361,34,197,282.9153605015674,26.64576802507837,False
charls_heldout,sex,Male,1455,112,0.07697594501718213,0.09369554873547373,0.8215539164459641,0.7854550047867248,0.2940544457161514,0.07697594501718213,3.8200823081875024,0.7424460176069102,0.8260272067412167,0.21606571261119023,0.3849237621559935,2000,0.06470435346736801,0.026867646557527068,18.09722564903921,0.02050926677161158,-0.46577785061907534,-0.835504503352851,-0.09605119788529964,0.013543725184814503,0.8775173853284595,0.707715676866936,1.0473190937899828,0.15742779779111382,0.1475,0.5446428571428571,0.8168279970215935,0.1986970684039088,0.955574912891986,0.2911694510739857,0.7958762886597938,1097,246,51,61,169.0721649484536,35.05154639175258,False
charls_heldout,age,45-59,1427,138,0.09670637701471618,0.10037502965327012,0.9634505449091599,0.8209936924478025,0.31161985940227727,0.09670637701471618,3.2223299954134035,0.7859497635564039,0.8537889893968807,0.2492930335001364,0.3841499766291079,2000,0.07542362120327889,0.0058496078806745695,5.646668025240668,0.6867418449924904,-0.028606716596038813,-0.36366836801724106,0.30645493482516345,0.86710507433102,1.0120006012178568,0.8432648136929478,1.1807363887427658,0.8891388610819964,0.1475,0.6884057971014492,0.8013964313421257,0.2706552706552707,0.9600371747211895,0.3885480572597137,0.7904695164681149,1033,256,43,95,179.39733707077784,30.133146461107216,False
charls_heldout,age,>=60,1304,205,0.15720858895705522,0.15892732723942277,0.9891853823239708,0.7987216760247675,0.42923216720870494,0.15720858895705522,2.730335346537323,0.7670555000573805,0.8280331704164399,0.36381645026956716,0.5010223390919514,2000,0.11031672354473963,0.013099558104558259,7.167874060578124,0.5186335362339727,-0.08420108324587512,-0.33486736657282706,0.16646520008107685,0.5103005879849114,0.9453611938912075,0.7956684880513651,1.09505389973105,0.4743621998272214,0.1475,0.7951219512195122,0.6806187443130118,0.31712062256809337,0.9468354430379747,0.4534075104311544,0.6986196319018405,748,351,42,163,269.1717791411043,32.20858895705521,False
charls_heldout,education,Illiterate,942,263,0.2791932059447983,0.2899547864786589,0.9628853151053167,0.6588670433482475,0.4360998792329748,0.2791932059447983,1.562000327899096,0.6217810901640035,0.6977443790437846,0.38000928055433525,0.5023726004610756,2000,0.18755423023818665,0.01895554442849623,6.206146270414332,0.6241525907638756,-0.07413822261563162,-0.33067565137468824,0.18239920614342497,0.5711074654395447,0.9792545121786598,0.7260230825726264,1.2324859417846932,0.8724350760469017,0.1475,0.9657794676806084,0.13696612665684832,0.30238095238095236,0.9117647058823529,0.4605621033544878,0.36836518046709127,93,586,9,254,622.0806794055202,9.554140127388534,False
charls_heldout,education,Primary school,733,57,0.07776261937244201,0.06597019626177489,1.1787537976069358,0.6341222879684419,0.11598328926794656,0.07776261937244201,1.4915044040948215,0.5609181779949477,0.7027920892121869,0.08357147108229379,0.17710390790377986,2000,0.07147794826291623,0.014461911542523864,10.156435197957412,0.2542174921734932,-0.4382353175253091,-1.787913915611917,0.9114432805612989,0.5245205788695815,0.7593040772765016,0.25063956731850423,1.267968587234499,0.35369861349385845,0.1475,0.07017543859649122,0.9718934911242604,0.17391304347826086,0.9253521126760563,0.1,0.9017735334242838,657,19,53,4,25.920873124147338,72.3055934515689,False
charls_heldout,education,Secondary school and above,1056,23,0.021780303030303032,0.027445870561217806,0.7935730434100179,0.7113725325139947,0.05758394138512983,0.021780303030303032,2.643854004465091,0.6058240019132008,0.8134496861199829,0.03041380085498627,0.13699584526251862,2000,0.021224520831751952,0.007365250352436474,5.546927026815557,0.6978355117839665,0.5645432950386282,-1.8576853283701271,2.9867719184473835,0.6478116924747583,1.2354818495926876,0.5307990164697939,1.9401646827155812,0.5124963625339296,0.1475,0.0,0.9980638915779284,0.0,0.9781783681214421,0.0,0.9763257575757576,1031,2,23,0,1.893939393939394,21.78030303030303,False
cfps_external_main,overall,Overall,12749,1118,0.08769315240411013,0.08921026888792145,0.9829939254446443,0.7951942475609179,0.26750124135864184,0.08769315240411013,3.0504233685879467,0.7815961428524445,0.808086361620592,0.24674807315597336,0.2924394709102802,2000,0.07139586371462986,0.008468817062696646,28.890550596699924,0.0003314305815054208,-0.20476616525180233,-0.325952640562232,-0.08357968994137265,0.0009272803350350856,0.9001615785219818,0.8458027798996135,0.95452037714435,0.0003184866530157038,0.1475,0.6118067978533095,0.8267560828819533,0.2534271952575028,0.95681592039801,0.3583966465810846,0.807906502470782,9616,2015,434,684,158.05161189112872,34.04188563808926,False
cfps_external_main,sex,Female,5705,643,0.11270815074496056,0.11058368942653943,1.0192113441813895,0.7981789419287921,0.3081873957692635,0.11270815074496056,2.734384281280946,0.7815578933562967,0.8151960358692653,0.27764944407088626,0.34353982279773126,2000,0.08768131402869943,0.009961428173380471,24.785274312216302,0.0016902560533849087,-0.1332825138598197,-0.28644645376141953,0.019881426041780087,0.08809168955734714,0.901675584235577,0.8261486188099714,0.9772025496611827,0.010723888334411846,0.1475,0.6920684292379471,0.7716317661003556,0.27795128044971895,0.9517543859649122,0.3966131907308378,0.7626643295354952,3906,1156,198,445,202.62927256792287,34.70639789658195,False
