Subgroup,Level,N,"Events, n (%)",AUROC (95% CI),AUPRC (95% CI),AUPRC prevalence baseline,AUPRC enrichment ratio,Brier score,O/E ratio,Sensitivity,Specificity,PPV,NPV
Sex,Female,5705,643 (11.3%),0.798 (0.782-0.815),0.308 (0.278-0.344),0.113,2.734,0.088,1.019,0.692,0.772,0.278,0.952
Sex,Male,7044,475 (6.7%),0.774 (0.752-0.796),0.209 (0.181-0.243),0.067,3.100,0.058,0.938,0.503,0.869,0.218,0.960
Age,45-59,8264,506 (6.1%),0.798 (0.777-0.818),0.220 (0.193-0.252),0.061,3.585,0.052,0.861,0.579,0.865,0.218,0.969
Age,>=60,4485,612 (13.6%),0.757 (0.738-0.776),0.308 (0.278-0.343),0.136,2.255,0.107,1.114,0.639,0.751,0.289,0.929
