outcome_definition,n,events,event_rate,auroc,auprc,brier,calibration_intercept,calibration_intercept_ci_low,calibration_intercept_ci_high,calibration_slope,calibration_slope_ci_low,calibration_slope_ci_high,model_probability_cutoff,sensitivity,specificity,ppv,npv,f1,accuracy,tn,fp,fn,tp,false_positives_per_1000,false_negatives_per_1000,residual_threshold
bottom_10_percent,12973,976,0.07523317659754876,0.8107496050925299,0.23113924739955563,0.06368037412550612,-0.3818807821643582,-0.5043385719408133,-0.2594229923879032,0.9307672351675303,0.8726413630022761,0.9888931073327846,0.1475,0.6547131147540983,0.8137867800283404,0.22241559345631745,0.9666336633663366,0.33203429462197975,0.801819162876744,9763,2234,337,639,172.20380790873352,25.97702921452247,
bottom_15_percent_main,12749,1118,0.08769315240411013,0.7951942475609179,0.26750124135864184,0.07139586371462986,-0.20476616525180233,-0.325952640562232,-0.08357968994137265,0.9001615785219818,0.8458027798996135,0.95452037714435,0.1475,0.6118067978533095,0.8267560828819533,0.2534271952575028,0.95681592039801,0.3583966465810846,0.807906502470782,9616,2015,434,684,158.05161189112872,34.04188563808926,
bottom_20_percent,12170,1311,0.10772391125718982,0.7717165295193243,0.2926620236120774,0.08671146975912018,-0.0005715852356814103,-0.12432625051319718,0.12318308004183437,0.8289186647299747,0.7787852405010636,0.8790520889588858,0.1475,0.5064836003051106,0.8526567823924855,0.29328621908127206,0.9346860488592772,0.3714685314685315,0.8153656532456861,9259,1600,647,664,131.47082990961383,53.163516844700084,
age_education_adjusted_residual_bottom_15_percent,12749,1918,0.15044317201349125,0.5856749622530394,0.1866073259127486,0.137057404100956,-1.0998092909975907,-1.2179371674245112,-0.9816814145706703,0.22633423244753476,0.18622898657583528,0.2664394783192342,0.1475,0.2872784150156413,0.8016803619241067,0.20414968506854392,0.8639800995024876,0.23868312757201646,0.7242921013412816,8683,2148,1367,551,168.48380265118834,107.22409600753001,-1.4249691208824722
