dataset,n,events,event_rate,mean_predicted_risk,auroc,auprc,brier,auroc_bootstrap_mean,auroc_ci_low,auroc_ci_high,auprc_bootstrap_mean,auprc_ci_low,auprc_ci_high,bootstrap_repetitions,calibration_intercept,calibration_intercept_ci_low,calibration_intercept_ci_high,calibration_intercept_p_value,calibration_slope,calibration_slope_ci_low,calibration_slope_ci_high,calibration_slope_p_value,ece,hosmer_lemeshow,hosmer_lemeshow_p_value,brier_reliability,brier_resolution,brier_uncertainty,brier_decomposition_check,brier_decomposition_abs_error,model_probability_cutoff,sensitivity,specificity,ppv,npv,f1,accuracy,tn,fp,fn,tp,false_positives_per_1000,false_negatives_per_1000
charls_train,10920,1370,0.12545787545787546,0.12547231285022256,0.8326480681774754,0.4366243433938162,0.08816510002958686,0.832331389984949,0.8214453074262482,0.8430635495156327,0.43658072538904197,0.40907412141117444,0.46411185472567007,2000,0.13962490251545473,0.03612563449487534,0.24312417053603413,0.008191461301322533,1.0990339626383372,1.039453708012038,1.1586142172646363,0.0011226326374582651,0.0075468598954007765,16.27542355500102,0.0386033838552875,0.00019639797421870976,0.020247206806554077,0.10971819694347167,0.0896673881111363,0.0015022880815494383,0.1475,0.7737226277372263,0.7518324607329843,0.30903790087463556,0.9586114819759679,0.44166666666666665,0.7545787545787546,7180,2370,310,1060,217.03296703296704,28.388278388278387
charls_heldout,2731,343,0.12559502013914317,0.12833262615724045,0.8151959994335135,0.38515969098032815,0.09208440679583284,0.8148356444697841,0.7917770888740376,0.8357801788806366,0.38742465222660905,0.3351691666521994,0.4413850931600643,2000,-0.060003147866713,-0.26044959812379626,0.14044330239037023,0.5573982493989202,0.9788246352926908,0.8686638871873172,1.0889853833980643,0.7063601413111926,0.00890312522502231,8.437653218613093,0.3919267270515939,0.00019420804067209416,0.01763138338105584,0.1098209110553914,0.09238373571500764,0.0002993289191748072,0.1475,0.7521865889212828,0.7458123953098827,0.29826589595375724,0.9544480171489818,0.4271523178807947,0.7466129622848773,1781,607,85,258,222.2629073599414,31.12413035518125
cfps_external_main,12749,1118,0.08769315240411013,0.08921026888792145,0.7951942475609179,0.26750124135864184,0.07139586371462986,0.795262579510656,0.7815961428524445,0.808086361620592,0.2684937085542983,0.24674807315597336,0.2924394709102802,2000,-0.20476616525180233,-0.325952640562232,-0.08357968994137265,0.0009272803350350856,0.9001615785219818,0.8458027798996135,0.95452037714435,0.0003184866530157038,0.008468817062696646,28.890550596699924,0.0003314305815054208,0.0002727269958435554,0.008754236768352628,0.08000306342553964,0.07152155365303058,0.00012568993840071652,0.1475,0.6118067978533095,0.8267560828819533,0.2534271952575028,0.95681592039801,0.3583966465810846,0.807906502470782,9616,2015,434,684,158.05161189112872,34.04188563808926
